,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
270,12016,1610612754,IND,Indiana Pacers,0011600030,2016-10-08,IND @ CHI,L,240,105,41,82,0.5,8,22,0.364,15,23,0.652,4.0,33.0,37.0,27,9,5,15,27,-16.0
271,12016,1610612754,IND,Indiana Pacers,0011600022,2016-10-06,IND vs. CHI,W,239,115,45,93,0.484,9,19,0.474,16,23,0.696,13.0,42.0,55.0,26,9,4,20,23,7.0
272,12016,1610612754,IND,Indiana Pacers,0011600013,2016-10-04,IND @ NOP,W,241,113,45,104,0.433,11,34,0.324,12,17,0.706,16.0,43.0,59.0,25,8,3,11,24,17.0
273,22016,1610612754,IND,Indiana Pacers,1421600024,2016-07-08,IND vs. ORB,W,200,85,33,68,0.485,6,12,0.5,13,19,0.684,11.0,30.0,41.0,16,5,4,16,14,6.0
274,22016,1610612754,IND,Indiana Pacers,1421600017,2016-07-06,IND @ OKC,L,201,71,25,62,0.403,7,16,0.438,14,21,0.667,9.0,24.0,33.0,13,7,5,18,24,-18.0
275,22016,1610612754,IND,Indiana Pacers,1421600014,2016-07-05,IND vs. DET,L,200,76,33,70,0.471,1,17,0.059,9,13,0.692,9.0,31.0,40.0,18,5,5,16,25,-4.0
276,22016,1610612754,IND,Indiana Pacers,1421600006,2016-07-03,IND @ CHA,L,200,70,25,60,0.417,3,14,0.214,17,26,0.654,7.0,33.0,40.0,14,8,2,15,26,-10.0
277,22016,1610612754,IND,Indiana Pacers,1421600003,2016-07-02,IND vs. ORB,W,201,93,35,61,0.574,13,22,0.591,10,18,0.556,9.0,32.0,41.0,21,10,5,27,11,27.0
278,42015,1610612754,IND,Indiana Pacers,0041500117,2016-05-01,IND @ TOR,L,240,84,34,73,0.466,9,19,0.474,7,8,0.875,5.0,33.0,38.0,12,5,5,13,17,-5.0
279,42015,1610612754,IND,Indiana Pacers,0041500116,2016-04-29,IND vs. TOR,W,239,101,35,76,0.461,8,22,0.364,23,26,0.885,12.0,32.0,44.0,21,12,7,14,25,18.0
280,42015,1610612754,IND,Indiana Pacers,0041500115,2016-04-26,IND @ TOR,L,239,99,33,73,0.452,13,29,0.448,20,23,0.87,8.0,33.0,41.0,22,5,5,14,26,-3.0
281,42015,1610612754,IND,Indiana Pacers,0041500114,2016-04-23,IND vs. TOR,W,241,100,40,85,0.471,6,16,0.375,14,18,0.778,15.0,28.0,43.0,24,10,5,12,22,17.0
282,42015,1610612754,IND,Indiana Pacers,0041500113,2016-04-21,IND vs. TOR,L,238,85,26,68,0.382,6,22,0.273,27,33,0.818,9.0,29.0,38.0,16,3,6,16,18,-16.0
283,42015,1610612754,IND,Indiana Pacers,0041500112,2016-04-18,IND @ TOR,L,239,87,29,70,0.414,4,20,0.2,25,30,0.833,6.0,27.0,33.0,13,7,3,13,23,-11.0
284,42015,1610612754,IND,Indiana Pacers,0041500111,2016-04-16,IND @ TOR,W,241,100,34,79,0.43,11,21,0.524,21,29,0.724,9.0,29.0,38.0,19,11,8,13,25,10.0
285,22015,1610612754,IND,Indiana Pacers,0021501225,2016-04-13,IND @ MIL,W,240,97,39,90,0.433,11,24,0.458,8,10,0.8,12.0,36.0,48.0,28,8,3,17,14,5.0
286,22015,1610612754,IND,Indiana Pacers,0021501212,2016-04-12,IND vs. NYK,W,241,102,41,80,0.513,6,19,0.316,14,20,0.7,8.0,33.0,41.0,26,10,3,13,10,12.0
287,22015,1610612754,IND,Indiana Pacers,0021501199,2016-04-10,IND vs. BKN,W,240,129,48,86,0.558,11,27,0.407,22,27,0.815,14.0,44.0,58.0,34,10,4,20,22,24.0
288,22015,1610612754,IND,Indiana Pacers,0021501183,2016-04-08,IND @ TOR,L,241,98,37,83,0.446,8,27,0.296,16,20,0.8,9.0,24.0,33.0,22,7,7,9,28,-13.0
289,22015,1610612754,IND,Indiana Pacers,0021501165,2016-04-06,IND vs. CLE,W,240,123,45,80,0.563,16,31,0.516,17,22,0.773,9.0,29.0,38.0,25,9,1,14,24,14.0
290,22015,1610612754,IND,Indiana Pacers,0021501151,2016-04-03,IND @ NYK,W,241,92,34,81,0.42,7,22,0.318,17,20,0.85,7.0,46.0,53.0,17,5,3,16,18,5.0
291,22015,1610612754,IND,Indiana Pacers,0021501138,2016-04-02,IND @ PHI,W,240,115,44,84,0.524,8,23,0.348,19,23,0.826,6.0,42.0,48.0,27,9,4,13,24,13.0
292,22015,1610612754,IND,Indiana Pacers,0021501123,2016-03-31,IND vs. ORL,L,239,94,36,86,0.419,7,19,0.368,15,21,0.714,17.0,32.0,49.0,18,11,4,19,18,-20.0
293,22015,1610612754,IND,Indiana Pacers,0021501107,2016-03-29,IND vs. CHI,L,241,96,39,90,0.433,3,19,0.158,15,17,0.882,13.0,31.0,44.0,20,9,6,11,16,-2.0
294,22015,1610612754,IND,Indiana Pacers,0021501093,2016-03-27,IND vs. HOU,W,241,104,41,87,0.471,9,26,0.346,13,20,0.65,15.0,35.0,50.0,25,9,6,13,23,3.0
295,22015,1610612754,IND,Indiana Pacers,0021501082,2016-03-26,IND @ BKN,L,240,110,37,77,0.481,11,24,0.458,25,30,0.833,6.0,25.0,31.0,24,15,4,19,26,-10.0
296,22015,1610612754,IND,Indiana Pacers,0021501068,2016-03-24,IND vs. NOP,W,240,92,36,79,0.456,7,20,0.35,13,15,0.867,3.0,41.0,44.0,26,10,6,13,12,8.0
297,22015,1610612754,IND,Indiana Pacers,0021501045,2016-03-21,IND vs. PHI,W,240,91,35,81,0.432,10,26,0.385,11,13,0.846,7.0,38.0,45.0,18,7,5,12,20,16.0
298,22015,1610612754,IND,Indiana Pacers,0021501031,2016-03-19,IND vs. OKC,L,239,111,40,83,0.482,9,22,0.409,22,30,0.733,8.0,26.0,34.0,28,11,2,12,18,-4.0
299,22015,1610612754,IND,Indiana Pacers,0021501012,2016-03-17,IND vs. TOR,L,265,94,35,91,0.385,8,28,0.286,16,23,0.696,9.0,39.0,48.0,21,9,7,14,32,-7.0
300,22015,1610612754,IND,Indiana Pacers,0021500997,2016-03-15,IND vs. BOS,W,240,103,39,84,0.464,5,12,0.417,20,28,0.714,11.0,34.0,45.0,18,9,7,13,18,5.0
